session_id,time_start,time_end,time_p_end,time_p_page3,time_p_page2,time_p_welcome,time_q_openfeedback,time_q_lecturesopen,time_q_class_preference_pace,time_q_class_preference_activities,time_q_class_preference_slides,time_q_class_preference_understand,time_q_class_preference,time_q_exam1open,time_q_exam_preference_exam_admin,time_q_exam_preference_exam_content,time_q_exam_preference,time_q_lab,openfeedback,lecturesopen,class_preference_pace,class_preference_activities,class_preference_slides,class_preference_understand,class_preference,exam1open,exam_preference_exam_admin,exam_preference_exam_content,exam_preference,lab,current_page
01e72922d01615d82c3cc05c1ab4ce0e,2025-03-14 00:32:54 UTC,2025-03-14 00:34:40 UTC,2025-03-14 00:34:18 UTC,2025-03-14 00:33:55 UTC,2025-03-14 00:33:22 UTC,2025-03-14 00:32:54 UTC,2025-03-14 00:34:15 UTC,,2025-03-14 00:33:49 UTC,2025-03-14 00:33:44 UTC,2025-03-14 00:33:42 UTC,2025-03-14 00:33:41 UTC,,,2025-03-14 00:33:31 UTC,2025-03-14 00:33:35 UTC,,2025-03-14 00:33:21 UTC,,,a,sd,a,a,,,d,a,,mirror,end
1cd928e3bc71c6e241c6a1791f9e8a8f,2025-03-13 22:34:33 UTC,2025-03-13 22:35:44 UTC,2025-03-13 22:35:23 UTC,2025-03-13 22:35:17 UTC,2025-03-13 22:16:48 UTC,2025-03-13 22:34:33 UTC,,,2025-03-13 22:35:15 UTC,2025-03-13 22:35:12 UTC,2025-03-13 22:35:09 UTC,2025-03-13 22:35:08 UTC,,,2025-03-13 22:34:42 UTC,2025-03-13 22:34:47 UTC,,2025-03-13 22:16:47 UTC,,,a,a,a,n,,,sa,a,,mirror,end
31fd05edfbed9c40a01eceb59d4d213b,2025-03-13 18:35:21 UTC,2025-03-13 18:36:05 UTC,,,,2025-03-13 18:35:21 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
598c22754e590f9e8484e891abeb7758,2025-03-13 20:26:24 UTC,2025-03-13 20:27:08 UTC,,,,2025-03-13 20:26:24 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
6d4051e27de0435fef4d0d21d235c70f,2025-03-13 22:15:50 UTC,2025-03-13 22:17:44 UTC,2025-03-13 22:17:24 UTC,2025-03-13 22:17:21 UTC,2025-03-13 22:16:15 UTC,2025-03-13 22:15:50 UTC,,2025-03-13 22:17:20 UTC,2025-03-13 22:16:40 UTC,2025-03-13 22:16:37 UTC,2025-03-13 22:16:33 UTC,2025-03-13 22:16:31 UTC,,,2025-03-13 22:16:24 UTC,2025-03-13 22:16:23 UTC,,2025-03-13 22:16:10 UTC,,"Hard to differentiate some times what material is related to exam items and what is unnecessary information, makes preparing for exams difficult.",d,a,n,n,,,a,a,,mirror,end
6f23ac910bcde061d83857301ae85586,2025-03-13 19:17:54 UTC,2025-03-13 19:18:41 UTC,,,,2025-03-13 19:17:54 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
71dc0b745a3888a3872b7f66beeef241,2025-03-13 18:36:17 UTC,2025-03-13 18:51:33 UTC,2025-03-13 18:51:11 UTC,2025-03-13 18:49:20 UTC,2025-03-13 18:37:16 UTC,2025-03-13 18:36:17 UTC,2025-03-13 18:51:11 UTC,2025-03-13 18:49:16 UTC,2025-03-13 18:46:57 UTC,2025-03-13 18:46:56 UTC,2025-03-13 18:46:49 UTC,2025-03-13 18:46:47 UTC,,2025-03-13 18:46:39 UTC,2025-03-13 18:37:38 UTC,2025-03-13 18:37:29 UTC,,2025-03-13 18:37:15 UTC,I appreciate you letting us out early some days!,"I understand this takes more work on your part, but it would be nice to have a study guide/outline before exams if you are willing. ",n,a,a,n,,"I can tolerate having exams on canvas (I know it makes the grading process easier), but I don't love it and having a paper option would be nice.",n,a,,mirror,end
9140269d8b8dba0592925f4210ff6cad,2025-03-13 18:35:23 UTC,2025-03-13 18:37:03 UTC,,,,2025-03-13 18:35:23 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
932d05eda487137dbb8a347776574fb1,2025-03-13 22:16:07 UTC,2025-03-13 22:52:45 UTC,,2025-03-13 22:17:50 UTC,2025-03-13 22:16:31 UTC,2025-03-13 22:16:07 UTC,,,2025-03-13 22:17:40 UTC,2025-03-13 22:17:42 UTC,2025-03-13 22:17:35 UTC,2025-03-13 22:17:33 UTC,,2025-03-13 22:17:17 UTC,2025-03-13 22:16:44 UTC,2025-03-13 22:16:43 UTC,,2025-03-13 22:16:30 UTC,,,d,d,a,a,,It is difficult to know what we should be studying in prep for the exam. Could you provide a study guide or quizlet?,a,n,,mirror,page3
932d47eba28386a38faf7e61bf4ce42e,2025-03-13 20:21:05 UTC,2025-03-13 20:22:44 UTC,2025-03-13 20:22:21 UTC,2025-03-13 20:22:17 UTC,2025-03-13 20:21:30 UTC,2025-03-13 20:21:05 UTC,,,2025-03-13 20:22:15 UTC,2025-03-13 20:22:04 UTC,2025-03-13 20:21:59 UTC,2025-03-13 20:21:58 UTC,,,2025-03-13 20:21:48 UTC,2025-03-13 20:21:46 UTC,,2025-03-13 20:21:28 UTC,,,sa,d,sa,sa,,,a,a,,mirror,end
97d637fa149092fe88d76b2ba2e9f9fc,2025-03-13 22:15:48 UTC,2025-03-13 22:17:10 UTC,2025-03-13 22:16:51 UTC,2025-03-13 22:16:49 UTC,2025-03-13 22:16:21 UTC,2025-03-13 22:15:48 UTC,,,2025-03-13 22:16:46 UTC,2025-03-13 22:16:41 UTC,2025-03-13 22:16:39 UTC,2025-03-13 22:16:36 UTC,,,2025-03-13 22:16:28 UTC,2025-03-13 22:16:26 UTC,,2025-03-13 22:16:20 UTC,,,n,d,a,a,,,a,a,,mirror,end
9ed230157ccf66b01ba5f0939528fcbb,2025-03-13 20:28:33 UTC,2025-03-13 20:28:53 UTC,2025-03-13 20:28:13 UTC,2025-03-13 20:28:09 UTC,2025-03-13 20:21:12 UTC,2025-03-13 20:28:33 UTC,,,2025-03-13 20:28:07 UTC,2025-03-13 20:28:05 UTC,2025-03-13 20:27:59 UTC,2025-03-13 20:28:03 UTC,,,2025-03-13 20:27:53 UTC,2025-03-13 20:27:50 UTC,,,,,n,a,d,n,,,a,a,,,end
aa69c33ed12ac8aa4e05d447fcc1c19a,2025-03-13 17:24:55 UTC,,,,,2025-03-13 17:24:55 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
b6416252205d5be3eb0edcf9eb5f42ba,2025-03-13 19:17:27 UTC,2025-03-13 19:25:48 UTC,2025-03-13 19:25:26 UTC,2025-03-13 19:23:05 UTC,2025-03-13 19:21:15 UTC,2025-03-13 19:17:27 UTC,2025-03-13 19:25:09 UTC,,2025-03-13 19:22:55 UTC,2025-03-13 19:22:52 UTC,2025-03-13 19:22:47 UTC,2025-03-13 19:22:44 UTC,,,2025-03-13 19:22:31 UTC,2025-03-13 19:21:24 UTC,,2025-03-13 19:20:44 UTC,"You're doing a great job! i'm very much enjoying the class how it is ",,sa,d,sa,sa,,,sa,sa,,mirror,end
b6d1bd6dc37f7c1ddcce02947ba7eca8,2025-03-13 20:49:51 UTC,2025-03-13 20:51:38 UTC,2025-03-13 20:51:16 UTC,2025-03-13 20:51:14 UTC,2025-03-13 20:50:31 UTC,2025-03-13 20:49:51 UTC,,,2025-03-13 20:51:12 UTC,2025-03-13 20:51:09 UTC,2025-03-13 20:51:01 UTC,2025-03-13 20:51:02 UTC,,,2025-03-13 20:50:45 UTC,2025-03-13 20:50:55 UTC,,2025-03-13 20:50:30 UTC,,,a,d,sa,sa,,,sa,sa,,mirror,end
cae7f09e36808081e74cd03c44d4afc1,2025-03-13 22:15:57 UTC,2025-03-13 22:20:06 UTC,2025-03-13 22:19:44 UTC,2025-03-13 22:18:27 UTC,2025-03-13 22:16:11 UTC,2025-03-13 22:15:57 UTC,2025-03-13 22:19:43 UTC,,2025-03-13 22:18:25 UTC,2025-03-13 22:18:23 UTC,2025-03-13 22:18:21 UTC,2025-03-13 22:18:19 UTC,,2025-03-13 22:18:13 UTC,2025-03-13 22:16:19 UTC,2025-03-13 22:16:17 UTC,,2025-03-13 22:16:09 UTC,"I, and a few of my classmates, would rather we not take the 30 min break before lab and instead finish class 30 mins early because this is a late class.",,n,a,n,d,,"There was much more crystalized knowledge than I expected (names, dates, acronyms) that usually don't show up on tests. I tend to feel that tests with applicable knowledge based questions (fluid) allow me to retain information better. ",sa,d,,separate,end
dc10f0a9692b8d8ae8b40cdd80471090,2025-03-13 17:31:55 UTC,2025-03-13 17:34:10 UTC,2025-03-13 17:33:50 UTC,2025-03-13 17:33:43 UTC,2025-03-13 17:33:20 UTC,2025-03-13 17:31:55 UTC,2025-03-13 17:33:49 UTC,2025-03-13 17:33:42 UTC,2025-03-13 17:33:37 UTC,,,2025-03-13 17:33:33 UTC,,2025-03-13 17:33:30 UTC,2025-03-13 17:33:27 UTC,2025-03-13 17:33:26 UTC,,2025-03-13 17:33:20 UTC,you rock!!!,kulas again,a,,,a,,kulas here,sa,sa,,mirror,end
e6964a371ec800d74c12083888a89406,2025-03-13 22:15:46 UTC,2025-03-13 23:12:48 UTC,2025-03-13 22:16:52 UTC,2025-03-13 22:16:50 UTC,2025-03-13 22:16:09 UTC,2025-03-13 22:15:46 UTC,,,2025-03-13 22:16:49 UTC,2025-03-13 22:16:43 UTC,2025-03-13 22:16:40 UTC,2025-03-13 22:16:33 UTC,,,2025-03-13 22:16:37 UTC,2025-03-13 22:16:37 UTC,,2025-03-13 22:16:08 UTC,,,a,d,sa,sa,,,sa,sa,,mirror,end
fccbcddf15339d7b5ba60540ec301adb,2025-03-13 20:21:01 UTC,2025-03-13 20:23:36 UTC,2025-03-13 20:23:02 UTC,2025-03-13 20:22:59 UTC,2025-03-13 20:21:33 UTC,2025-03-13 20:21:01 UTC,,2025-03-13 20:22:55 UTC,2025-03-13 20:22:48 UTC,2025-03-13 20:22:46 UTC,2025-03-13 20:22:40 UTC,2025-03-13 20:22:38 UTC,,,2025-03-13 20:21:59 UTC,2025-03-13 20:21:51 UTC,,2025-03-13 20:21:32 UTC,,Lecture is too slow,d,d,d,d,,,a,n,,mirror,end
fdece9fdafd2968f0993656329afe827,2025-03-13 20:26:22 UTC,2025-03-13 20:28:45 UTC,2025-03-13 20:28:24 UTC,2025-03-13 20:28:21 UTC,2025-03-13 20:27:20 UTC,2025-03-13 20:26:22 UTC,,,2025-03-13 20:28:03 UTC,2025-03-13 20:28:15 UTC,2025-03-13 20:28:18 UTC,2025-03-13 20:28:18 UTC,,2025-03-13 20:27:55 UTC,2025-03-13 20:27:34 UTC,2025-03-13 20:27:31 UTC,,2025-03-13 20:27:12 UTC,,,a,n,a,a,,"maybe not as many questions ",a,sa,,mirror,end